Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Season (season),Crop code (crop_code),Crop name (crop_name),Crop category (crop_type),Area (area),Area unit (area_unit),Production (production),Production unit (production_unit),Yield (yield),Yield unit (yield_unit)
" 2017-18","Chhattisgarh","22","Korba","383","Rabi       ","288","Other  Rabi Pulses","Pulses","94.0","Hectare","28.0","Tonnes","0.3","Tonnes/Hectare"
" 2014-15","Tamil Nadu","33","Pudukkottai","582","Rabi       ","105","Ragi","Cereals","3.0","Hectare","13.0","Tonnes","4.33","Tonnes/Hectare"
" 2019-20","Telangana","36","Warangal","522","Kharif     ","1001","Groundnut","Oilseeds","2560.0","Hectare","8610.0","Tonnes","3.36","Tonnes/Hectare"
" 2006-07","Manipur","14","Ukhrul","260","Kharif     ","104","Maize","Cereals","1310.0","Hectare","3080.0","Tonnes","2.35","Tonnes/Hectare"
" 2003-04","Bihar","10","Gopalganj","197","Kharif     ","104","Maize","Cereals","11069.0","Hectare","13453.0","Tonnes","1.22","Tonnes/Hectare"
" 2002-03","Uttarakhand","5","Pithoragarh","53","Kharif     ","105","Ragi","Cereals","9135.0","Hectare","11710.0","Tonnes","1.28","Tonnes/Hectare"
" 1998-99","Rajasthan","8","Jodhpur","107","Rabi       ","1007","Sunflower","Oilseeds","57.0","Hectare","6.0","Tonnes","0.11","Tonnes/Hectare"
" 2000-01","Odisha","21","Dhenkanal","352","Whole Year ","401","Sugarcane","Sugar","554.0","Hectare","29170.9","Tonnes","52.66","Tonnes/Hectare"
" 2011-12","Chhattisgarh","22","Kabirdham","382","Whole Year ","606","Banana","Fruits","18.0","Hectare","549.0","Tonnes","30.5","Tonnes/Hectare"
" 2010-11","Andhra Pradesh","28","Kurnool","511","Kharif     ","1003","Sesamum","Oilseeds","66.0","Hectare","11.0","Tonnes","0.17","Tonnes/Hectare"
" 2019-20","Rajasthan","8","Alwar","87","Kharif     ","101","Rice","Cereals","89.0","Hectare","195.0","Tonnes","2.19","Tonnes/Hectare"
" 2004-05","Chhattisgarh","22","Dakshin Bastar Dantewada","376","Rabi       ","106","Wheat","Cereals","8.0","Hectare","6.0","Tonnes","0.75","Tonnes/Hectare"
" 2009-10","Madhya Pradesh","23","Dindori","404","Whole Year ","1004","Rapeseed &Mustard","Oilseeds","17209.0","Hectare","9714.0","Tonnes","0.56","Tonnes/Hectare"
" 2015-16","West Bengal","19","Howrah","313","Summer     ","101","Rice","Cereals","41173.0","Hectare","126436.0","Tonnes","3.07","Tonnes/Hectare"
