Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Season (season),Crop code (crop_code),Crop name (crop_name),Crop category (crop_type),Area (area),Area unit (area_unit),Production (production),Production unit (production_unit),Yield (yield),Yield unit (yield_unit)
" 2015-16","Manipur","14","Imphal West","256","Whole Year ","606","Banana","Fruits","832.0","Hectare","11229.51","Tonnes","13.5","Tonnes/Hectare"
" 2005-06","Andhra Pradesh","28","Kurnool","511","Rabi       ","206","Horse-Gram","Pulses","1406.0","Hectare","531.0","Tonnes","0.38","Tonnes/Hectare"
" 2008-09","Bihar","10","Bhagalpur","192","Rabi       ","701","Potato","Vegetable","923.0","Hectare","4920.0","Tonnes","5.33","Tonnes/Hectare"
" 2016-17","Uttar Pradesh","9","Ghazipur","146","Summer     ","203","Urad","Pulses","626.0","Hectare","438.0","Tonnes","0.7","Tonnes/Hectare"
" 1999-00","Punjab","3","Mansa","37","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","4000.0","Hectare","4000.0","Tonnes","1.0","Tonnes/Hectare"
" 2016-17","Punjab","3","Amritsar","27","Rabi       ","205","Masoor","Pulses","100.0","Hectare","40000.0","Tonnes","0.0","Tonnes/Hectare"
" 1997-98","Gujarat","24","Jamnagar","447","Summer     ","1001","Groundnut","Oilseeds","1400.0","Hectare","2200.0","Tonnes","1.57","Tonnes/Hectare"
" 2019-20","Karnataka","29","Chikkamagaluru","532","Kharif     ","1101","Cotton(Lint)","Fiber Crops","1063.0","Hectare","2020.0","Tonnes","1.9","Tonnes/Hectare"
" 2010-11","Karnataka","29","Koppal","543","Kharif     ","1010","Niger Seed","Oilseeds","1320.0","Hectare","350.0","Tonnes","0.27","Tonnes/Hectare"
" 2007-08","Assam","18","Goalpara","287","Kharif     ","108","Small Millets","Cereals","340.0","Hectare","135.0","Tonnes","0.4","Tonnes/Hectare"
" 1998-99","Maharashtra","27","Ahmednagar","466","Kharif     ","1003","Sesamum","Oilseeds","900.0","Hectare","300.0","Tonnes","0.33","Tonnes/Hectare"
" 2006-07","Uttar Pradesh","9","Kheri","159","Kharif     ","401","Sugarcane","Sugar","227118.0","Hectare","13423582.0","Tonnes","59.1","Tonnes/Hectare"
" 2003-04","Bihar","10","Sheohar","220","Whole Year ","1302","Tobacco","Drugs And Narcotics","49.0","Hectare","54.0","Tonnes","1.1","Tonnes/Hectare"
" 2005-06","Bihar","10","Saran","218","Kharif     ","105","Ragi","Cereals","566.0","Hectare","445.0","Tonnes","0.79","Tonnes/Hectare"
" 2001-02","Gujarat","24","Kachchh","449","Kharif     ","1001","Groundnut","Oilseeds","68600.0","Hectare","78000.0","Tonnes","1.14","Tonnes/Hectare"
" 2004-05","Uttar Pradesh","9","Mau","168","Kharif     ","108","Small Millets","Cereals","35.0","Hectare","14.0","Tonnes","0.4","Tonnes/Hectare"
" 2005-06","Bihar","10","Madhubani","206","Rabi       ","205","Masoor","Pulses","6934.0","Hectare","2732.0","Tonnes","0.39","Tonnes/Hectare"
" 2002-03","Haryana","6","Panipat","71","Rabi       ","107","Barley","Cereals","77.0","Hectare","0.0","Tonnes","0.0","Tonnes/Hectare"
" 2006-07","Arunachal Pradesh","12","Lower Dibang Valley","235","Whole Year ","502","Dry Chillies","Spices","60.0","Hectare","72.0","Tonnes","1.2","Tonnes/Hectare"
" 1999-00","Rajasthan","8","Sawai Madhopur","113","Whole Year ","508","Garlic","Spices","87.0","Hectare","174.0","Tonnes","2.0","Tonnes/Hectare"
" 1997-98","Odisha","21","Nayagarh","367","Autumn     ","203","Urad","Pulses","34.0","Hectare","11.0","Tonnes","0.32","Tonnes/Hectare"
" 2011-12","Uttar Pradesh","9","Sultanpur","185","Rabi       ","201","Gram","Pulses","2448.0","Hectare","3235.0","Tonnes","1.32","Tonnes/Hectare"
" 2010-11","Odisha","21","Sonepur","372","Winter     ","1003","Sesamum","Oilseeds","194.0","Hectare","22.9","Tonnes","0.12","Tonnes/Hectare"
" 2003-04","Odisha","21","Rayagada","370","Rabi       ","201","Gram","Pulses","190.0","Hectare","80.0","Tonnes","0.42","Tonnes/Hectare"
" 2013-14","Odisha","21","Jajapur","356","Autumn     ","101","Rice","Cereals","15000.0","Hectare","18000.0","Tonnes","1.2","Tonnes/Hectare"
" 2014-15","West Bengal","19","Coochbehar","308","Rabi       ","205","Masoor","Pulses","219.0","Hectare","117.0","Tonnes","0.53","Tonnes/Hectare"
" 2015-16","Assam","18","Dhubri","285","Rabi       ","203","Urad","Pulses","6535.0","Hectare","4337.0","Tonnes","0.66","Tonnes/Hectare"
" 2002-03","Gujarat","24","Kheda","450","Summer     ","1001","Groundnut","Oilseeds","300.0","Hectare","600.0","Tonnes","2.0","Tonnes/Hectare"
" 2016-17","Jammu And Kashmir","1","Udhampur","14","Kharif     ","104","Maize","Cereals","36307.0","Hectare","95968.0","Tonnes","2.64","Tonnes/Hectare"
" 1999-00","Andhra Pradesh","28","Kadapa","746","Rabi       ","1001","Groundnut","Oilseeds","25822.0","Hectare","40308.0","Tonnes","1.56","Tonnes/Hectare"
" 2007-08","Rajasthan","8","Churu","96","Kharif     ","204","Moong(Green Gram)","Pulses","34525.0","Hectare","14214.0","Tonnes","0.41","Tonnes/Hectare"
" 1997-98","Karnataka","29","Chitradurga","533","Kharif     ","104","Maize","Cereals","109411.0","Hectare","261359.0","Tonnes","2.39","Tonnes/Hectare"
" 2017-18","Himachal Pradesh","2","Bilaspur","15","Kharif     ","1003","Sesamum","Oilseeds","7.0","Hectare","3.0","Tonnes","0.43","Tonnes/Hectare"
" 2000-01","Rajasthan","8","Jhunjhunu","106","Kharif     ","204","Moong(Green Gram)","Pulses","22787.0","Hectare","4467.0","Tonnes","0.2","Tonnes/Hectare"
" 2005-06","Uttar Pradesh","9","Sant Kabeer Nagar","178","Whole Year ","509","Coriander","Spices","18.0","Hectare","10.0","Tonnes","0.56","Tonnes/Hectare"
" 2019-20","Maharashtra","27","Ahmednagar","466","Kharif     ","288","Other Kharif Pulses","Pulses","10338.0","Hectare","1257.0","Tonnes","0.12","Tonnes/Hectare"
" 2017-18","Tripura","16","South Tripura","271","Kharif     ","1101","Cotton(Lint)","Fiber Crops","86.0","Hectare","117.0","Tonnes","1.36","Tonnes/Hectare"
" 2017-18","Andhra Pradesh","28","Kurnool","511","Whole Year ","1006","Coconut","Oilseeds","14.0","Hectare","31700000.0","Tonnes","0.0","Tonnes/Hectare"
" 2001-02","Rajasthan","8","Hanumangarh","101","Rabi       ","213","Peas & Beans (Pulses)","Pulses","44.0","Hectare","88.0","Tonnes","2.0","Tonnes/Hectare"
" 2014-15","Jharkhand","20","Dumka","326","Autumn     ","101","Rice","Cereals","4567.0","Hectare","4704.0","Tonnes","1.03","Tonnes/Hectare"
" 2019-20","Gujarat","24","Surendranagar","460","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","662.0","Hectare","1279.0","Tonnes","1.93","Tonnes/Hectare"
" 1998-99","Tamil Nadu","33","Thanjavur","586","Kharif     ","101","Rice","Cereals","194652.0","Hectare","674525.0","Tonnes","3.47","Tonnes/Hectare"
" 2009-10","Odisha","21","Nuapada","368","Winter     ","1001","Groundnut","Oilseeds","45.0","Hectare","60.2","Tonnes","1.34","Tonnes/Hectare"
" 2003-04","Uttarakhand","5","Nainital","51","Rabi       ","205","Masoor","Pulses","551.0","Hectare","385.0","Tonnes","0.7","Tonnes/Hectare"
" 2000-01","Madhya Pradesh","23","Harda","408","Kharif     ","1010","Niger Seed","Oilseeds","55.0","Hectare","14.0","Tonnes","0.25","Tonnes/Hectare"
" 2001-02","Bihar","10","Saran","218","Autumn     ","104","Maize","Cereals","18821.0","Hectare","29542.0","Tonnes","1.57","Tonnes/Hectare"
" 2014-15","Assam","18","Nagaon","297","Kharif     ","1102","Jute","Fiber Crops","9771.0","Hectare","165838.0","Tonnes","16.97","Tonnes/Hectare"
" 2017-18","Andhra Pradesh","28","Kurnool","511","Rabi       ","1302","Tobacco","Drugs And Narcotics","4802.0","Hectare","6689.0","Tonnes","1.39","Tonnes/Hectare"
" 2009-10","Uttar Pradesh","9","Kanpur Dehat","156","Rabi       ","508","Garlic","Spices","119.0","Hectare","632.0","Tonnes","5.31","Tonnes/Hectare"
" 1998-99","Rajasthan","8","Barmer","90","Rabi       ","107","Barley","Cereals","38.0","Hectare","75.0","Tonnes","1.97","Tonnes/Hectare"
" 2010-11","Chhattisgarh","22","Durg","378","Rabi       ","201","Gram","Pulses","101151.0","Hectare","96159.0","Tonnes","0.95","Tonnes/Hectare"
" 2014-15","Madhya Pradesh","23","Khargone","414","Kharif     ","103","Bajra","Cereals","2000.0","Hectare","3000.0","Tonnes","1.5","Tonnes/Hectare"
" 1997-98","West Bengal","19","Murshidabad","319","Whole Year ","507","Arecanut","Spices","56.0","Hectare","38.0","Tonnes","0.68","Tonnes/Hectare"
" 2010-11","Tamil Nadu","33","Ariyalur","610","Kharif     ","202","Arhar/Tur","Pulses","209.0","Hectare","138.0","Tonnes","0.66","Tonnes/Hectare"
" 2000-01","West Bengal","19","Murshidabad","319","Kharif     ","503","Ginger","Spices","255.0","Hectare","336.0","Tonnes","1.32","Tonnes/Hectare"
" 2002-03","Andhra Pradesh","28","Krishna","510","Whole Year ","509","Coriander","Spices","14.0","Hectare","8.0","Tonnes","0.57","Tonnes/Hectare"
" 2007-08","Karnataka","29","Udupi","549","Whole Year ","501","Black Pepper","Spices","293.0","Hectare","914.0","Tonnes","3.12","Tonnes/Hectare"
" 2017-18","Uttar Pradesh","9","Kushi Nagar","160","Rabi       ","104","Maize","Cereals","3874.0","Hectare","13807.0","Tonnes","3.56","Tonnes/Hectare"
" 2009-10","Bihar","10","Siwan","222","Autumn     ","104","Maize","Cereals","8675.0","Hectare","28438.0","Tonnes","3.28","Tonnes/Hectare"
" 2017-18","Uttar Pradesh","9","Bareilly","130","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","15509.0","Hectare","27605.0","Tonnes","1.78","Tonnes/Hectare"
" 2016-17","Jharkhand","20","Sahebganj","340","Rabi       ","708","Onion","Vegetable","74.0","Hectare","842.0","Tonnes","11.38","Tonnes/Hectare"
" 2004-05","Kerala","32","Kozhikode","561","Whole Year ","619","Cashewnut","Fruits","3552.0","Hectare","2063.0","Tonnes","0.58","Tonnes/Hectare"
" 1999-00","Madhya Pradesh","23","Dakshin Bastar Dantewada","401","Whole Year ","401","Sugarcane","Sugar","2.0","Hectare","50.0","Tonnes","25.0","Tonnes/Hectare"
" 2015-16","Andhra Pradesh","28","Anantapur","502","Kharif     ","502","Dry Chillies","Spices","3628.0","Hectare","11080.0","Tonnes","3.05","Tonnes/Hectare"
" 2007-08","Chhattisgarh","22","Korea","384","Rabi       ","288","Other  Rabi Pulses","Pulses","205.0","Hectare","16.0","Tonnes","0.0","Tonnes/Hectare"
" 2015-16","Gujarat","24","Surat","459","Rabi       ","288","Other  Rabi Pulses","Pulses","365.0","Hectare","243.0","Tonnes","0.67","Tonnes/Hectare"
" 2002-03","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Whole Year ","509","Coriander","Spices","33.0","Hectare","18.0","Tonnes","0.55","Tonnes/Hectare"
" 2014-15","Chhattisgarh","22","Janjgir-Champa","379","Whole Year ","708","Onion","Vegetable","381.0","Hectare","3373.0","Tonnes","8.85","Tonnes/Hectare"
" 2018-19","Gujarat","24","Porbandar","456","Kharif     ","1001","Groundnut","Oilseeds","75889.0","Hectare","106508.0","Tonnes","1.4","Tonnes/Hectare"
" 1997-98","Odisha","21","Sambalpur","371","Winter     ","1001","Groundnut","Oilseeds","39.0","Hectare","45.0","Tonnes","1.15","Tonnes/Hectare"
" 2019-20","Uttarakhand","5","Pithoragarh","53","Kharif     ","104","Maize","Cereals","3252.0","Hectare","6205.0","Tonnes","1.91","Tonnes/Hectare"
" 2017-18","Andhra Pradesh","28","Srikakulam","519","Rabi       ","1003","Sesamum","Oilseeds","7676.0","Hectare","1504.0","Tonnes","0.2","Tonnes/Hectare"
" 2006-07","Uttar Pradesh","9","Shahjahanpur","180","Rabi       ","201","Gram","Pulses","324.0","Hectare","236.0","Tonnes","0.73","Tonnes/Hectare"
" 2012-13","Andaman And Nicobar Islands","35","South Andamans","602","Rabi       ","503","Ginger","Spices","93.0","Hectare","829.0","Tonnes","8.91","Tonnes/Hectare"
" 2007-08","West Bengal","19","South 24 Parganas","304","Rabi       ","107","Barley","Cereals","17.0","Hectare","15.0","Tonnes","0.88","Tonnes/Hectare"
" 2008-09","Mizoram","15","Mamit","266","Kharif     ","1088","Other Oilseeds","Oilseeds","688.0","Hectare","395.0","Tonnes","0.57","Tonnes/Hectare"
" 2018-19","Madhya Pradesh","23","Agar Malwa","667","Kharif     ","103","Bajra","Cereals","12.0","Hectare","13.0","Tonnes","1.08","Tonnes/Hectare"
" 2012-13","Haryana","6","Kaithal","66","Kharif     ","203","Urad","Pulses","5.0","Hectare","1.0","Tonnes","0.2","Tonnes/Hectare"
" 2015-16","Gujarat","24","Chhotaudepur","668","Summer     ","104","Maize","Cereals","1980.0","Hectare","4247.0","Tonnes","2.14","Tonnes/Hectare"
" 2011-12","Uttarakhand","5","Pithoragarh","53","Kharif     ","101","Rice","Cereals","21606.0","Hectare","27841.0","Tonnes","1.29","Tonnes/Hectare"
" 2002-03","Uttar Pradesh","9","Gautam Buddha Nagar","144","Whole Year ","401","Sugarcane","Sugar","3385.0","Hectare","210647.0","Tonnes","62.23","Tonnes/Hectare"
" 1997-98","Odisha","21","Nayagarh","367","Summer     ","104","Maize","Cereals","3.0","Hectare","2.0","Tonnes","0.67","Tonnes/Hectare"
" 2008-09","Madhya Pradesh","23","Jhabua","412","Whole Year ","504","Turmeric","Spices","2.0","Hectare","2.0","Tonnes","1.0","Tonnes/Hectare"
" 1998-99","Haryana","6","Kaithal","66","Kharif     ","102","Jowar","Cereals","225.0","Hectare","8000.0","Tonnes","0.0","Tonnes/Hectare"
" 2005-06","Uttar Pradesh","9","Sultanpur","185","Rabi       ","106","Wheat","Cereals","164944.0","Hectare","425554.0","Tonnes","2.58","Tonnes/Hectare"
" 2004-05","Rajasthan","8","Dholpur","98","Whole Year ","1104","Sannhamp","Fiber Crops","4.0","Hectare","2.0","Tonnes","0.0","Tonnes/Hectare"
" 2017-18","Telangana","36","Nirmal","680","Rabi       ","204","Moong(Green Gram)","Pulses","130.0","Hectare","108.0","Tonnes","0.83","Tonnes/Hectare"
" 2012-13","Gujarat","24","Gandhinagar","446","Whole Year ","701","Potato","Vegetable","5900.0","Hectare","147500.0","Tonnes","25.0","Tonnes/Hectare"
" 2012-13","Uttar Pradesh","9","Gorakhpur","148","Summer     ","708","Onion","Vegetable","120.0","Hectare","1306.0","Tonnes","10.88","Tonnes/Hectare"
" 2006-07","Tamil Nadu","33","Nagapattinam","579","Whole Year ","1001","Groundnut","Oilseeds","3119.0","Hectare","11853.0","Tonnes","3.8","Tonnes/Hectare"
" 2015-16","Odisha","21","Deogarh","351","Winter     ","104","Maize","Cereals","2.0","Hectare","2.7","Tonnes","1.35","Tonnes/Hectare"
" 2019-20","West Bengal","19","Alipurduar","664","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","4930.0","Hectare","3761.0","Tonnes","0.76","Tonnes/Hectare"
" 2003-04","Rajasthan","8","Hanumangarh","101","Rabi       ","201","Gram","Pulses","232135.0","Hectare","59228.0","Tonnes","0.26","Tonnes/Hectare"
" 2008-09","Chhattisgarh","22","Dhamtari","377","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","3955.0","Hectare","1545.0","Tonnes","0.39","Tonnes/Hectare"
" 2008-09","Andhra Pradesh","28","East Godavari","505","Whole Year ","703","Sweet Potato","Vegetable","83.0","Hectare","1129.0","Tonnes","13.6","Tonnes/Hectare"
" 2015-16","Bihar","10","Muzaffarpur","208","Rabi       ","104","Maize","Cereals","10986.0","Hectare","24466.0","Tonnes","2.23","Tonnes/Hectare"
" 2000-01","Bihar","10","Pashchim Champaran","211","Whole Year ","508","Garlic","Spices","666.0","Hectare","1008.0","Tonnes","1.51","Tonnes/Hectare"
" 2016-17","Gujarat","24","Dohad","445","Kharif     ","104","Maize","Cereals","111820.0","Hectare","160733.0","Tonnes","1.44","Tonnes/Hectare"
" 2011-12","Karnataka","29","Tumakuru","548","Kharif     ","202","Arhar/Tur","Pulses","14476.0","Hectare","4868.0","Tonnes","0.34","Tonnes/Hectare"
" 2012-13","Assam","18","Hailakandi","289","Rabi       ","507","Arecanut","Spices","2925.0","Hectare","1294.0","Tonnes","0.44","Tonnes/Hectare"
" 2004-05","Madhya Pradesh","23","Shivpuri","432","Kharif     ","104","Maize","Cereals","25507.0","Hectare","41288.0","Tonnes","1.62","Tonnes/Hectare"
" 2013-14","Haryana","6","Rewari","72","Kharif     ","202","Arhar/Tur","Pulses","100.0","Hectare","100.0","Tonnes","1.0","Tonnes/Hectare"
" 2016-17","Maharashtra","27","Nandurbar","486","Summer     ","1007","Sunflower","Oilseeds","70.0","Hectare","50.0","Tonnes","0.71","Tonnes/Hectare"
" 2009-10","Andhra Pradesh","28","Visakhapatanam","520","Rabi       ","204","Moong(Green Gram)","Pulses","1968.0","Hectare","785.0","Tonnes","0.4","Tonnes/Hectare"
" 2016-17","Madhya Pradesh","23","Raisen","421","Rabi       ","201","Gram","Pulses","120000.0","Hectare","179000.0","Tonnes","1.49","Tonnes/Hectare"
" 2019-20","Uttarakhand","5","Tehri Garhwal","55","Rabi       ","188","Other Cereals","Cereals","55.0","Hectare","44.0","Tonnes","0.8","Tonnes/Hectare"
" 2008-09","Odisha","21","Bhadrak","348","Autumn     ","1102","Jute","Fiber Crops","58.0","Hectare","370.0","Tonnes","6.38","Tonnes/Hectare"
" 2000-01","Karnataka","29","Belagavi","527","Whole Year ","708","Onion","Vegetable","2452.0","Hectare","7783.0","Tonnes","3.17","Tonnes/Hectare"
" 2014-15","Jammu And Kashmir","1","Badgam","2","Kharif     ","701","Potato","Vegetable","17.0","Hectare","74.8","Tonnes","4.4","Tonnes/Hectare"
" 2013-14","Rajasthan","8","Nagaur","110","Kharif     ","209","Moth","Pulses","149677.0","Hectare","26052.0","Tonnes","0.17","Tonnes/Hectare"
" 2006-07","Rajasthan","8","Chittorgarh","95","Kharif     ","102","Jowar","Cereals","10294.0","Hectare","7939.0","Tonnes","0.77","Tonnes/Hectare"
" 2012-13","Tamil Nadu","33","Tirunelveli","592","Kharif     ","1007","Sunflower","Oilseeds","425.0","Hectare","349.0","Tonnes","0.82","Tonnes/Hectare"
" 2003-04","Madhya Pradesh","23","Panna","420","Rabi       ","1004","Rapeseed &Mustard","Oilseeds","3190.0","Hectare","1210.0","Tonnes","0.38","Tonnes/Hectare"
" 2018-19","Karnataka","29","Dakshina Kannada","534","Whole Year ","501","Black Pepper","Spices","5322.0","Hectare","1053.8","Tonnes","0.2","Tonnes/Hectare"
" 2006-07","Madhya Pradesh","23","Datia","401","Kharif     ","202","Arhar/Tur","Pulses","1471.0","Hectare","730.0","Tonnes","0.5","Tonnes/Hectare"
" 2003-04","Nagaland","13","Zunheboto","251","Rabi       ","104","Maize","Cereals","20.0","Hectare","30.0","Tonnes","1.5","Tonnes/Hectare"
" 2018-19","Arunachal Pradesh","12","Anjaw","628","Kharif     ","1009","Soyabean","Oilseeds","21.0","Hectare","30.0","Tonnes","1.43","Tonnes/Hectare"
" 2011-12","Bihar","10","Bhojpur","193","Kharif     ","102","Jowar","Cereals","826.0","Hectare","880.0","Tonnes","1.07","Tonnes/Hectare"
" 2014-15","Uttar Pradesh","9","Ambedkar Nagar","121","Kharif     ","703","Sweet Potato","Vegetable","9.0","Hectare","111.0","Tonnes","12.33","Tonnes/Hectare"
" 2012-13","Karnataka","29","Mysuru","545","Whole Year ","507","Arecanut","Spices","1527.0","Hectare","12256.0","Tonnes","8.03","Tonnes/Hectare"
" 2008-09","Uttar Pradesh","9","Mau","168","Rabi       ","509","Coriander","Spices","15.0","Hectare","9.0","Tonnes","0.6","Tonnes/Hectare"
" 2018-19","Tamil Nadu","33","Tiruchirappalli","591","Kharif     ","203","Urad","Pulses","430.0","Hectare","326.0","Tonnes","0.76","Tonnes/Hectare"
" 2007-08","Jharkhand","20","East Singhbum","327","Rabi       ","202","Arhar/Tur","Pulses","117.17","Hectare","141.0","Tonnes","1.2","Tonnes/Hectare"
" 2017-18","Madhya Pradesh","23","Shajapur","430","Kharif     ","102","Jowar","Cereals","1000.0","Hectare","1950.0","Tonnes","1.95","Tonnes/Hectare"
" 2017-18","Nagaland","13","Kohima","245","Rabi       ","204","Moong(Green Gram)","Pulses","2500.0","Hectare","2430.0","Tonnes","0.97","Tonnes/Hectare"
" 2005-06","Mizoram","15","Mamit","266","Kharif     ","203","Urad","Pulses","13.0","Hectare","17.0","Tonnes","1.31","Tonnes/Hectare"
" 2016-17","Tamil Nadu","33","Tiruvannamalai","593","Whole Year ","702","Tapioca","Vegetable","1532.0","Hectare","48332.0","Tonnes","31.55","Tonnes/Hectare"
" 2011-12","Rajasthan","8","Hanumangarh","101","Whole Year ","502","Dry Chillies","Spices","60.0","Hectare","43.0","Tonnes","0.72","Tonnes/Hectare"
" 2004-05","Rajasthan","8","Alwar","87","Rabi       ","205","Masoor","Pulses","161.0","Hectare","160.0","Tonnes","0.99","Tonnes/Hectare"
" 2002-03","Chhattisgarh","22","Raigarh","386","Kharif     ","1003","Sesamum","Oilseeds","3513.0","Hectare","976.0","Tonnes","0.28","Tonnes/Hectare"
" 2015-16","Chhattisgarh","22","Rajnandgaon","388","Whole Year ","703","Sweet Potato","Vegetable","15.0","Hectare","110.0","Tonnes","7.33","Tonnes/Hectare"
" 2005-06","Maharashtra","27","Raigad","491","Kharif     ","108","Small Millets","Cereals","4500.0","Hectare","1900.0","Tonnes","0.42","Tonnes/Hectare"
" 2011-12","Bihar","10","Nalanda","209","Rabi       ","1005","Linseed","Oilseeds","5.0","Hectare","4.0","Tonnes","0.8","Tonnes/Hectare"
" 2008-09","Andhra Pradesh","28","Visakhapatanam","520","Whole Year ","703","Sweet Potato","Vegetable","152.0","Hectare","394.0","Tonnes","2.59","Tonnes/Hectare"
" 2016-17","Nagaland","13","Mon","247","Kharif     ","206","Horse-Gram","Pulses","50.0","Hectare","50.0","Tonnes","1.0","Tonnes/Hectare"
" 1999-00","Uttar Pradesh","9","Moradabad","171","Kharif     ","202","Arhar/Tur","Pulses","585.0","Hectare","691.0","Tonnes","1.18","Tonnes/Hectare"
" 1998-99","Karnataka","29","Gadag","537","Kharif     ","206","Horse-Gram","Pulses","255.0","Hectare","122.0","Tonnes","0.48","Tonnes/Hectare"
" 2005-06","Madhya Pradesh","23","Khandwa","408","Whole Year ","708","Onion","Vegetable","5568.0","Hectare","145552.0","Tonnes","26.14","Tonnes/Hectare"
" 2017-18","Madhya Pradesh","23","Seoni","428","Summer     ","203","Urad","Pulses","1310.0","Hectare","2000.0","Tonnes","1.53","Tonnes/Hectare"
" 1997-98","West Bengal","19","Purba Bardhaman","306","Whole Year ","401","Sugarcane","Sugar","1181.0","Hectare","71760.0","Tonnes","60.76","Tonnes/Hectare"
" 2004-05","Karnataka","29","Vijayapura","530","Whole Year ","504","Turmeric","Spices","15.0","Hectare","1.0","Tonnes","0.07","Tonnes/Hectare"
" 2014-15","Tamil Nadu","33","Dharmapuri","571","Kharif     ","203","Urad","Pulses","5895.0","Hectare","5227.0","Tonnes","0.89","Tonnes/Hectare"
" 1999-00","Uttar Pradesh","9","Ballia","126","Kharif     ","1001","Groundnut","Oilseeds","40.0","Hectare","33.0","Tonnes","0.82","Tonnes/Hectare"
" 2008-09","Madhya Pradesh","23","Burhanpur","397","Rabi       ","201","Gram","Pulses","2489.0","Hectare","2064.0","Tonnes","0.83","Tonnes/Hectare"
" 2001-02","Rajasthan","8","Bhilwara","92","Whole Year ","1401","Guar Seed","Fodder","11674.0","Hectare","1168.0","Tonnes","0.1","Tonnes/Hectare"
" 2013-14","Odisha","21","Mayurbhanj","365","Winter     ","104","Maize","Cereals","22.0","Hectare","44.4","Tonnes","2.02","Tonnes/Hectare"
" 2019-20","Jammu And Kashmir","1","Baramulla","3","Kharif     ","213","Peas & Beans (Pulses)","Pulses","1.0","Hectare","6.0","Tonnes","6.0","Tonnes/Hectare"
" 2016-17","Uttar Pradesh","9","Sambhal","659","Kharif     ","401","Sugarcane","Sugar","28156.0","Hectare","2008649.0","Tonnes","71.34","Tonnes/Hectare"
" 1998-99","Rajasthan","8","Ganganagar","100","Kharif     ","104","Maize","Cereals","62.0","Hectare","67.0","Tonnes","1.08","Tonnes/Hectare"
" 2010-11","Gujarat","24","Junagadh","448","Kharif     ","204","Moong(Green Gram)","Pulses","2000.0","Hectare","900.0","Tonnes","0.45","Tonnes/Hectare"
" 1998-99","Maharashtra","27","Jalna","479","Rabi       ","102","Jowar","Cereals","129900.0","Hectare","94500.0","Tonnes","0.73","Tonnes/Hectare"
" 2015-16","Chhattisgarh","22","Kanker","382","Whole Year ","504","Turmeric","Spices","29.0","Hectare","19.0","Tonnes","0.66","Tonnes/Hectare"
" 2019-20","Haryana","6","Hisar","63","Kharif     ","1002","Castor Seed","Oilseeds","2819.0","Hectare","1748.0","Tonnes","0.62","Tonnes/Hectare"
" 2010-11","Gujarat","24","Tapi","641","Rabi       ","201","Gram","Pulses","2200.0","Hectare","3200.0","Tonnes","1.45","Tonnes/Hectare"
" 2001-02","Bihar","10","Nawada","210","Autumn     ","101","Rice","Cereals","80793.0","Hectare","131486.0","Tonnes","1.63","Tonnes/Hectare"
" 2012-13","Rajasthan","8","Dausa","97","Whole Year ","1302","Tobacco","Drugs And Narcotics","41.0","Hectare","104.0","Tonnes","2.54","Tonnes/Hectare"
" 2019-20","Uttar Pradesh","9","Auraiya","122","Kharif     ","204","Moong(Green Gram)","Pulses","483.0","Hectare","139.0","Tonnes","0.29","Tonnes/Hectare"
" 2017-18","Madhya Pradesh","23","Khargone","414","Whole Year ","503","Ginger","Spices","125.0","Hectare","3036.0","Tonnes","24.29","Tonnes/Hectare"
" 2011-12","Gujarat","24","Amreli","439","Summer     ","1003","Sesamum","Oilseeds","5700.0","Hectare","2500.0","Tonnes","0.44","Tonnes/Hectare"
" 2001-02","Uttar Pradesh","9","Sultanpur","185","Kharif     ","202","Arhar/Tur","Pulses","10615.0","Hectare","16633.0","Tonnes","1.57","Tonnes/Hectare"
" 2005-06","Uttar Pradesh","9","Sant Ravidas Nagar","178","Kharif     ","1104","Sannhamp","Fiber Crops","60.0","Hectare","21.0","Tonnes","0.35","Tonnes/Hectare"
" 2019-20","Tamil Nadu","33","Sivaganga","585","Rabi       ","1001","Groundnut","Oilseeds","935.0","Hectare","3501.0","Tonnes","3.74","Tonnes/Hectare"
" 2016-17","Manipur","14","Tamenglong","258","Rabi       ","201","Gram","Pulses","89.0","Hectare","84.0","Tonnes","0.94","Tonnes/Hectare"
" 2008-09","Odisha","21","Gajapati","353","Summer     ","204","Moong(Green Gram)","Pulses","4.0","Hectare","0.5","Tonnes","0.12","Tonnes/Hectare"
" 2018-19","Uttar Pradesh","9","Kasganj","633","Kharif     ","401","Sugarcane","Sugar","7173.0","Hectare","568588.0","Tonnes","79.27","Tonnes/Hectare"
" 2002-03","West Bengal","19","Purba Medinipur","317","Summer     ","101","Rice","Cereals","123498.0","Hectare","399511.0","Tonnes","3.23","Tonnes/Hectare"
" 2006-07","Karnataka","29","Raichur","546","Kharif     ","204","Moong(Green Gram)","Pulses","6240.0","Hectare","184.0","Tonnes","0.03","Tonnes/Hectare"
" 2006-07","Odisha","21","Nabarangpur","366","Summer     ","105","Ragi","Cereals","1.0","Hectare","0.5","Tonnes","0.5","Tonnes/Hectare"
